"Label (Grouping)","Bronx County, New York!!Number!!Estimate","Bronx County, New York!!Number!!Margin of Error","Bronx County, New York!!Percent Distribution!!Estimate","Bronx County, New York!!Percent Distribution!!Margin of Error","Bronx County, New York!!Median income (dollars)!!Estimate","Bronx County, New York!!Median income (dollars)!!Margin of Error","Kings County, New York!!Number!!Estimate","Kings County, New York!!Number!!Margin of Error","Kings County, New York!!Percent Distribution!!Estimate","Kings County, New York!!Percent Distribution!!Margin of Error","Kings County, New York!!Median income (dollars)!!Estimate","Kings County, New York!!Median income (dollars)!!Margin of Error","New York County, New York!!Number!!Estimate","New York County, New York!!Number!!Margin of Error","New York County, New York!!Percent Distribution!!Estimate","New York County, New York!!Percent Distribution!!Margin of Error","New York County, New York!!Median income (dollars)!!Estimate","New York County, New York!!Median income (dollars)!!Margin of Error","Queens County, New York!!Number!!Estimate","Queens County, New York!!Number!!Margin of Error","Queens County, New York!!Percent Distribution!!Estimate","Queens County, New York!!Percent Distribution!!Margin of Error","Queens County, New York!!Median income (dollars)!!Estimate","Queens County, New York!!Median income (dollars)!!Margin of Error","Richmond County, New York!!Number!!Estimate","Richmond County, New York!!Number!!Margin of Error","Richmond County, New York!!Percent Distribution!!Estimate","Richmond County, New York!!Percent Distribution!!Margin of Error","Richmond County, New York!!Median income (dollars)!!Estimate","Richmond County, New York!!Median income (dollars)!!Margin of Error","New York city, New York!!Number!!Estimate","New York city, New York!!Number!!Margin of Error","New York city, New York!!Percent Distribution!!Estimate","New York city, New York!!Percent Distribution!!Margin of Error","New York city, New York!!Median income (dollars)!!Estimate","New York city, New York!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","537,953","±5,736","537,953","±5,736","46,838","±2,003","1,035,549","±4,511","1,035,549","±4,511","76,912","±1,830","787,747","±11,059","787,747","±11,059","101,078","±2,582","863,975","±5,067","863,975","±5,067","81,929","±1,842","169,526","±2,215","169,526","±2,215","95,543","±6,161","3,394,750","±14,400","3,394,750","±14,400","76,577","±1,123"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","74,713","±4,614","13.9%","±0.8","65,803","±11,589","419,907","±5,421","40.5%","±0.5","99,080","±4,045","427,787","±8,049","54.3%","±0.9","149,693","±6,488","274,783","±4,797","31.8%","±0.5","91,692","±4,382","107,213","±2,803","63.2%","±1.4","104,129","±5,637","1,304,403","±12,123","38.4%","±0.3","106,658","±2,885"
"            Black or African American","187,229","±5,332","34.8%","±1.0","50,420","±3,684","290,166","±6,002","28.0%","±0.6","61,311","±1,486","101,146","±5,164","12.8%","±0.6","43,264","±6,296","141,100","±3,910","16.3%","±0.4","82,540","±5,694","15,444","±1,165","9.1%","±0.7","56,722","±15,035","735,085","±9,773","21.7%","±0.3","59,333","±2,063"
"            American Indian and Alaska Native","10,328","±2,153","1.9%","±0.4","25,592","±15,973","6,297","±1,358","0.6%","±0.1","62,277","±19,816","N","N","N","N","17,447","±2,843","N","N","N","N","96,369","±45,550","N","N","N","N","N","N","26,638","±3,151","0.8%","±0.1","53,155","±16,427"
"            Asian","18,716","±1,524","3.5%","±0.3","69,945","±14,707","110,161","±3,195","10.6%","±0.3","82,287","±5,064","96,642","±4,177","12.3%","±0.5","119,785","±14,907","219,342","±4,281","25.4%","±0.4","77,256","±5,050","19,670","±1,369","11.6%","±0.8","96,548","±12,072","464,531","±6,882","13.7%","±0.2","84,779","±3,621"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","81,953","±57,473","N","N","N","N","-","**","N","N","N","N","29,094","±25,778","N","N","N","N","-","**","N","N","N","N","29,397","±27,581"
"            Some other race","169,205","±6,587","31.5%","±1.2","39,593","±4,018","98,763","±5,361","9.5%","±0.5","56,531","±4,735","72,775","±5,330","9.2%","±0.7","36,263","±7,167","119,982","±5,551","13.9%","±0.6","73,669","±4,195","8,217","±1,948","4.8%","±1.1","66,715","±24,519","468,942","±10,900","13.8%","±0.3","50,568","±2,263"
"        Two or more races","76,982","±6,084","14.3%","±1.2","45,496","±4,175","109,839","±6,808","10.6%","±0.7","79,606","±6,397","86,660","±6,571","11.0%","±0.8","76,267","±9,066","101,851","±6,232","11.8%","±0.7","77,077","±6,343","17,986","±2,444","10.6%","±1.4","68,635","±16,877","393,318","±13,745","11.6%","±0.4","69,447","±3,559"
"        Hispanic or Latino origin (of any race)","283,039","±4,614","52.6%","±0.8","40,342","±2,527","184,292","±4,857","17.8%","±0.5","61,933","±3,879","160,513","±6,402","20.4%","±0.7","50,000","±3,844","210,232","±4,378","24.3%","±0.5","72,272","±3,839","28,998","±1,901","17.1%","±1.1","66,026","±6,902","867,074","±9,919","25.5%","±0.3","53,785","±2,290"
"        White alone, not Hispanic or Latino","55,227","±3,975","10.3%","±0.7","72,871","±8,941","398,675","±5,046","38.5%","±0.5","100,448","±4,112","406,402","±7,697","51.6%","±0.8","153,804","±6,962","253,909","±4,425","29.4%","±0.5","94,296","±4,520","101,945","±2,519","60.1%","±1.2","105,794","±8,071","1,216,158","±11,539","35.8%","±0.3","111,266","±2,803"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
